Year,Month,Domestic,International,Total
1985,1,22307,"2,51,839","2,74,147"
1985,2,22029,"2,07,456","2,29,487"
1985,3,24446,"2,42,132","2,66,581"
1985,4,24403,"2,18,031","2,42,438"
1985,5,26940,"2,29,841","2,56,786"
1985,6,22049,"2,04,410","2,26,465"
1985,7,20983,"1,99,191","2,20,181"
1985,8,24122,"2,38,774","2,62,904"
1985,9,24371,"2,27,497","2,51,877"
1985,10,26018,"2,30,368","2,56,396"
1985,11,24030,"2,47,288","2,71,329"
1985,12,22655,"2,75,293","2,97,960"
1986,1,21042,"2,80,555","3,01,598"
1986,2,21275,"2,25,085","2,46,362"
1986,3,23131,"2,63,598","2,86,732"
1986,4,23302,"2,50,363","2,73,669"
1986,5,25016,"2,44,092","2,69,113"
1986,6,20750,"2,14,321","2,35,077"
1986,7,22838,"2,38,184","2,61,029"
1986,8,23349,"2,70,096","2,93,453"
1986,9,23787,"2,45,224","2,69,020"
1986,10,25102,"2,59,133","2,84,245"
1986,11,23371,"2,88,575","3,11,957"
1986,12,22661,"3,07,111","3,29,784"
1987,1,17264,"3,25,315","3,42,580"
1987,2,20056,"2,71,166","2,91,224"
1987,3,22985,"2,77,739","3,00,727"
1987,4,22681,"2,66,334","2,89,019"
1987,5,21641,"2,68,101","2,89,747"
1987,6,20294,"2,43,565","2,63,865"
1987,7,21932,"2,99,585","3,21,524"
1987,8,20879,"3,09,984","3,30,871"
1987,9,22794,"2,99,946","3,22,749"
1987,10,24550,"3,35,366","3,59,926"
1987,11,22949,"3,24,959","3,47,919"
1987,12,22229,"3,47,449","3,69,690"
1988,1,18371,"3,76,804","3,95,176"
1988,2,21609,"3,11,948","3,33,559"
1988,3,25172,"3,31,930","3,57,105"
1988,4,22102,"3,15,755","3,37,861"
1988,5,22413,"3,02,885","3,25,303"
1988,6,21837,"2,97,381","3,19,224"
1988,7,28722,"3,57,759","3,86,488"
1988,8,28118,"3,55,112","3,83,238"
1988,9,31006,"3,54,946","3,85,961"
1988,10,31914,"3,72,264","4,04,188"
1988,11,29701,"3,49,605","3,79,317"
1988,12,28529,"3,80,071","4,08,612"
1989,1,24426,"3,99,202","4,23,629"
1989,2,25449,"3,21,442","3,46,893"
1989,3,32186,"3,45,482","3,77,671"
1989,4,31506,"3,14,703","3,46,213"
1989,5,33027,"2,85,435","3,18,467"
1989,6,32802,"2,98,998","3,31,806"
1989,7,17750,"3,38,813","3,56,570"
1989,8,14309,"3,26,509","3,40,826"
1989,9,41479,"3,31,566","3,73,054"
1989,10,51246,"3,39,903","3,91,159"
1989,11,46924,"3,28,982","3,75,917"
1989,12,41460,"3,95,261","4,36,733"
1990,1,39075,"4,12,493","4,51,569"
1990,2,41102,"3,29,244","3,70,348"
1990,3,43348,"3,40,209","3,83,560"
1990,4,45992,"3,52,053","3,98,049"
1990,5,48028,"3,12,520","3,60,553"
1990,6,43998,"3,27,750","3,71,754"
1990,7,52391,"3,67,062","4,19,460"
1990,8,46255,"3,62,667","4,08,930"
1990,9,52378,"3,62,026","4,14,413"
1990,10,57510,"3,61,998","4,19,518"
1990,11,51650,"3,38,939","3,90,600"
1990,12,45836,"3,97,130","4,42,978"
1991,1,40158,"4,05,473","4,45,632"
1991,2,41750,"3,04,926","3,46,678"
1991,3,48447,"3,30,727","3,79,177"
1991,4,51727,"2,98,959","3,50,690"
1991,5,47109,"2,97,851","3,44,965"
1991,6,44980,"3,18,511","3,63,497"
1991,7,51547,"3,72,025","4,23,579"
1991,8,47656,"3,70,026","4,17,690"
1991,9,50451,"3,72,860","4,23,320"
1991,10,59286,"3,83,293","4,42,589"
1991,11,57688,"3,66,028","4,23,727"
1991,12,53214,"3,99,593","4,52,819"
1992,1,49420,"4,21,946","4,71,367"
1992,2,50905,"3,56,742","4,07,649"
1992,3,55055,"3,53,988","4,09,046"
1992,4,61421,"3,72,630","4,34,055"
1992,5,57878,"3,36,273","3,94,156"
1992,6,56573,"3,18,789","3,75,368"
1992,7,61747,"4,06,262","4,68,016"
1992,8,58504,"3,60,653","4,19,165"
1992,9,62075,"3,67,430","4,29,514"
1992,10,71348,"3,87,972","4,59,330"
1992,11,61601,"3,87,160","4,48,772"
1992,12,62697,"4,35,811","4,98,520"
1993,1,62986,"4,57,728","5,20,715"
1993,2,64192,"3,74,715","4,38,909"
1993,3,69990,"3,82,889","4,52,882"
1993,4,76211,"3,83,455","4,59,670"
1993,5,72325,"3,57,667","4,29,997"
1993,6,72712,"3,45,773","4,18,491"
1993,7,77655,"4,02,234","4,79,896"
1993,8,75319,"3,93,264","4,68,591"
1993,9,80975,"3,94,287","4,75,271"
1993,10,89153,"4,23,899","5,13,062"
1993,11,80403,"4,05,909","4,86,323"
1993,12,79822,"4,56,195","5,36,029"
1994,1,74449,"4,77,677","5,52,127"
1994,2,75240,"4,25,917","5,01,159"
1994,3,84139,"4,53,239","5,37,381"
1994,4,86911,"4,17,819","5,04,734"
1994,5,83273,"3,73,797","4,57,075"
1994,6,86270,"3,94,767","4,81,043"
1994,7,87721,"4,69,387","5,57,115"
1994,8,88677,"4,46,709","5,35,394"
1994,9,93044,"4,49,646","5,42,699"
1994,10,94254,"4,79,835","5,74,099"
1994,11,83615,"4,55,405","5,39,031"
1994,12,86045,"5,14,296","6,00,353"
1995,1,68621,"5,45,414","6,14,036"
1995,2,79116,"4,61,342","5,40,460"
1995,3,85686,"4,66,520","5,52,209"
1995,4,94392,"4,67,883","5,62,279"
1995,5,87973,"4,15,406","5,03,384"
1995,6,90227,"4,23,005","5,13,238"
1995,7,93840,"5,26,522","6,20,369"
1995,8,"1,04,589","4,90,141","5,94,738"
1995,9,"1,07,426","4,82,170","5,89,605"
1995,10,"1,06,433","5,05,653","6,12,096"
1995,11,"1,05,727","4,88,226","5,93,964"
1995,12,98938,"5,66,169","6,65,119"
1996,1,89422,"5,93,097","6,82,520"
1996,2,92688,"5,23,257","6,15,947"
1996,3,"1,05,970","5,49,700","6,55,673"
1996,4,"1,13,815","5,25,655","6,39,474"
1996,5,"1,18,431","4,46,489","5,64,925"
1996,6,"1,11,727","4,96,562","6,08,295"
1996,7,"1,18,784","5,44,545","6,63,336"
1996,8,"1,22,340","5,33,150","6,55,498"
1996,9,"1,30,061","5,20,695","6,50,765"
1996,10,"1,35,804","5,62,925","6,98,739"
1996,11,"1,32,150","5,56,405","6,88,566"
1996,12,"1,28,289","6,25,264","7,53,565"
1997,1,"1,17,622","6,49,403","7,67,026"
1997,2,"1,27,078","5,56,436","6,83,516"
1997,3,"1,42,178","5,94,456","7,36,637"
1997,4,"1,40,079","5,30,436","6,70,519"
1997,5,"1,39,533","5,00,590","6,40,128"
1997,6,"1,32,857","5,22,856","6,55,719"
1997,7,"1,41,702","6,07,743","7,49,452"
1997,8,"1,47,565","5,59,265","7,06,838"
1997,9,"1,49,377","5,37,152","6,86,538"
1997,10,"1,55,817","5,91,004","7,46,831"
1997,11,"1,46,419","5,75,802","7,22,232"
1997,12,"1,39,933","6,15,553","7,55,498"
1998,1,"1,25,501","6,47,787","7,73,289"
1998,2,"1,34,108","5,40,381","6,74,491"
1998,3,"1,50,895","5,43,959","6,94,857"
1998,4,"1,48,998","5,84,975","7,33,977"
1998,5,"1,47,614","5,22,784","6,70,403"
1998,6,"1,38,805","5,13,397","6,52,208"
1998,7,"1,46,753","6,03,488","7,50,248"
1998,8,"1,48,022","5,79,875","7,27,905"
1998,9,"1,52,065","5,64,177","7,16,251"
1998,10,"1,57,071","6,12,048","7,69,129"
1998,11,"1,50,994","5,76,629","7,27,634"
1998,12,"1,42,411","6,44,051","7,86,474"
1999,1,"1,22,321","6,94,773","8,17,095"
1999,2,"1,37,826","5,78,295","7,16,123"
1999,3,"1,56,180","6,10,918","7,67,101"
1999,4,"1,46,929","5,93,772","7,40,705"
1999,5,"1,46,613","5,33,392","6,80,010"
1999,6,"1,41,519","5,39,975","6,81,500"
1999,7,"1,49,110","6,46,083","7,95,200"
1999,8,"1,55,361","6,23,466","7,78,835"
1999,9,"1,61,532","6,20,783","7,82,324"
1999,10,"1,63,543","6,57,197","8,20,750"
1999,11,"1,60,949","6,25,614","7,86,574"
1999,12,"1,51,810","6,63,885","8,15,707"
2000,1,"1,34,771","7,19,621","8,54,393"
2000,2,"1,51,975","6,40,699","7,92,676"
2000,3,"1,73,139","6,41,689","8,14,831"
2000,4,"1,67,502","6,87,912","8,55,418"
2000,5,"1,70,412","5,92,261","7,62,678"
2000,6,"1,72,323","5,83,487","7,55,816"
2000,7,"1,71,536","7,09,605","8,81,148"
2000,8,"1,83,432","6,49,556","8,32,996"
2000,9,"1,76,003","7,19,093","8,95,105"
2000,10,"1,81,120","7,52,975","9,34,105"
2000,11,"1,84,661","7,22,279","9,06,951"
2000,12,"1,78,130","8,18,046","9,96,188"
2001,1,"1,69,597","8,42,667","10,12,265"
2001,2,"1,62,780","6,73,392","8,36,174"
2001,3,"1,92,686","7,01,271","8,93,960"
2001,4,"1,86,767","7,05,037","8,91,808"
2001,5,"1,89,375","6,09,067","7,98,447"
2001,6,"1,72,528","6,34,844","8,07,378"
2001,7,"1,79,271","7,73,153","9,52,431"
2001,8,"1,78,790","6,97,300","8,76,098"
2001,9,"1,43,317","6,45,248","7,88,574"
2001,10,"1,32,118","6,29,008","7,61,136"
2001,11,"1,28,225","5,88,888","7,17,124"
2001,12,"1,19,697","7,29,098","8,48,807"
2002,1,"1,01,146","7,53,214","8,54,361"
2002,2,"1,24,380","6,46,474","7,70,856"
2002,3,"1,42,095","6,95,611","8,37,709"
2002,4,"1,36,367","6,34,207","7,70,578"
2002,5,"1,45,393","5,83,706","7,29,104"
2002,6,"1,27,067","5,92,258","7,19,331"
2002,7,"1,32,725","7,07,548","8,40,280"
2002,8,"1,32,994","6,54,613","7,87,615"
2002,9,"1,34,313","6,24,576","7,58,898"
2002,10,"1,40,606","7,02,766","8,43,382"
2002,11,"1,32,453","6,61,111","7,93,575"
2002,12,"1,22,005","7,50,691","8,72,708"
2003,1,"1,03,057","7,96,815","8,99,873"
2003,2,"1,19,809","6,44,151","7,63,962"
2003,3,"1,36,934","6,30,983","7,67,920"
2003,4,"1,27,760","5,53,401","6,81,165"
2003,5,"1,31,373","4,89,473","6,20,851"
2003,6,"1,21,295","5,36,860","6,58,161"
2003,7,"1,29,567","6,97,677","8,27,251"
2003,8,"1,36,245","6,59,096","7,95,349"
2003,9,"1,40,339","6,70,768","8,11,116"
2003,10,"1,46,890","7,06,922","8,53,822"
2003,11,"1,44,893","7,24,421","8,69,325"
2003,12,"1,32,712","8,19,274","9,51,998"
2004,1,"1,12,732","8,52,871","9,65,604"
2004,2,"1,32,746","7,08,100","8,40,848"
2004,3,"1,56,164","7,10,956","8,67,123"
2004,4,"1,46,533","7,23,654","8,70,191"
2004,5,"1,48,706","6,47,753","7,96,464"
2004,6,"1,47,585","6,72,862","8,20,453"
2004,7,"1,54,299","7,99,221","9,53,527"
2004,8,"1,59,318","7,11,870","8,71,196"
2004,9,"1,60,913","7,16,504","8,77,426"
2004,10,"1,62,719","7,71,135","9,33,864"
2004,11,"1,63,111","7,55,752","9,18,874"
2004,12,"1,51,938","8,81,147","10,33,097"
2005,1,"1,26,178","9,53,694","10,79,873"
2005,2,"1,43,106","7,58,058","9,01,166"
2005,3,"1,62,774","7,90,634","9,53,411"
2005,4,"1,55,068","7,55,654","9,10,726"
2005,5,"1,54,764","6,67,811","8,22,580"
2005,6,"1,47,078","7,13,212","8,60,296"
2005,7,"1,50,632","8,55,962","10,06,601"
2005,8,"1,55,822","7,67,177","9,23,007"
2005,9,"1,61,313","7,74,785","9,36,107"
2005,10,"1,58,659","8,01,135","9,59,804"
2005,11,"1,59,925","7,72,324","9,32,260"
2005,12,"1,43,708","9,05,537","10,49,257"
2006,1,"1,21,845","9,69,001","10,90,847"
2006,2,"1,38,249","7,82,745","9,20,996"
2006,3,"1,66,217","7,80,196","9,46,416"
2006,4,"1,53,330","8,15,335","9,68,669"
2006,5,"1,61,705","6,95,025","8,56,735"
2006,6,"1,50,198","7,48,332","8,98,536"
2006,7,"1,55,789","8,62,899","10,18,695"
2006,8,"1,63,282","7,71,992","9,35,282"
2006,9,"1,69,309","7,95,861","9,65,179"
2006,10,"1,70,405","8,65,473","10,35,888"
2006,11,"1,75,874","8,20,541","9,96,426"
2006,12,"1,55,069","9,58,570","11,13,651"
2007,1,"1,36,925","10,02,909","11,39,835"
2007,2,"1,53,544","8,18,618","9,72,164"
2007,3,"1,85,689","8,72,543","10,58,235"
2007,4,"1,67,149","8,46,488","10,13,641"
2007,5,"1,79,480","7,23,460","9,02,945"
2007,6,"1,70,233","7,85,055","9,55,294"
2007,7,"1,78,653","8,95,974","10,74,634"
2007,8,"1,92,008","8,33,390","10,25,406"
2007,9,"1,81,977","8,47,010","10,28,996"
2007,10,"1,90,189","9,01,773","10,91,972"
2007,11,"1,88,826","8,68,660","10,57,497"
2007,12,"1,66,391","9,82,360","11,48,763"
2008,1,"1,51,629","10,26,694","11,78,324"
2008,2,"1,63,331","8,87,275","10,50,608"
2008,3,"1,73,108","9,01,016","10,74,127"
2008,4,"1,71,471","8,38,035","10,09,510"
2008,5,"1,70,317","7,83,783","9,54,105"
2008,6,"1,58,872","7,94,870","9,53,748"
2008,7,"1,64,754","9,81,591","11,46,352"
2008,8,"1,64,356","8,50,146","10,14,510"
2008,9,"1,66,170","8,05,924","9,72,103"
2008,10,"1,79,771","8,82,267","10,62,048"
2008,11,"1,67,509","8,36,804","10,04,324"
2008,12,"1,56,153","9,64,495","11,20,660"
2009,1,"1,36,598","9,96,457","11,33,056"
2009,2,"1,41,070","8,01,924","9,42,996"
2009,3,"1,67,644","8,21,693","9,89,340"
2009,4,"1,59,073","8,70,622","10,29,699"
2009,5,"1,56,278","7,59,410","9,15,693"
2009,6,"1,52,236","7,67,888","9,20,130"
2009,7,"1,60,308","9,41,348","11,01,663"
2009,8,"1,59,180","8,64,145","10,23,333"
2009,9,"1,63,931","8,79,689","10,43,629"
2009,10,"1,75,192","9,75,493","11,50,695"
2009,11,"1,71,986","8,94,245","10,66,242"
2009,12,"1,56,595","10,62,356","12,18,963"
2010,1,"1,31,304","11,10,678","12,41,983"
2010,2,"1,49,047","8,99,053","10,48,102"
2010,3,"1,82,567","9,26,343","11,08,913"
2010,4,"1,68,777","8,86,880","10,55,661"
2010,5,"1,69,518","8,03,140","9,72,663"
2010,6,"1,67,900","8,67,125","10,35,031"
2010,7,"1,71,068","10,15,800","11,86,875"
2010,8,"1,66,674","9,28,432","10,95,114"
2010,9,"1,67,643","9,62,454","11,30,106"
2010,10,"1,91,795","10,08,887","12,00,692"
2010,11,"1,84,618","9,44,323","11,28,952"
2010,12,"1,67,193","11,02,422","12,69,627"
2011,1,"1,33,118","11,59,333","12,92,452"
2011,2,"1,51,893","9,16,286","10,68,181"
2011,3,"1,83,815","9,02,945","10,86,763"
2011,4,"1,69,550","9,66,189","11,35,743"
2011,5,"1,73,657","8,52,753","10,26,415"
2011,6,"1,57,954","8,84,489","10,42,449"
2011,7,"1,64,554","10,40,159","12,04,720"
2011,8,"1,74,965","9,38,127","11,13,100"
2011,9,"1,77,351","9,94,485","11,71,845"
2011,10,"1,75,544","10,30,429","12,05,983"
2011,11,"1,77,649","9,52,162","11,29,822"
2011,12,"1,61,245","11,11,225","12,72,482"
2012,1,"1,38,785","11,80,898","13,19,684"
2012,2,"1,57,706","9,40,980","10,98,688"
2012,3,"1,80,133","9,72,317","11,52,453"
2012,4,"1,57,114","10,01,330","11,58,448"
2012,5,"1,74,987","8,76,247","10,51,239"
2012,6,"1,66,729","9,78,946","11,45,681"
2012,7,"1,61,349","10,76,643","12,37,999"
2012,8,"1,74,161","10,04,945","11,79,114"
2012,9,"1,70,106","10,56,072","12,26,187"
2012,10,"1,74,050","10,63,522","12,37,582"
2012,11,"1,74,893","10,26,993","12,01,897"
2012,12,"1,56,582","11,93,353","13,49,947"
2013,1,"1,40,104","12,12,368","13,52,473"
2013,2,"1,44,131","9,76,535","11,20,668"
2013,3,"1,73,545","10,42,459","12,16,007"
2013,4,"1,65,261","10,29,489","11,94,754"
2013,5,"1,71,742","9,38,557","11,10,304"
2013,6,"1,55,240","10,12,191","11,67,437"
2013,7,"1,60,987","11,41,480","13,02,474"
